fold,fit_rows,validation_rows,n_estimators,mae,rmse
1,1406,352,500,18353.26025,32163.115690301496
2,1406,352,500,14638.04097537879,21803.99685101448
3,1406,352,500,17009.75661931818,31644.801661774127
4,1407,351,500,16929.54809496676,29134.169514628615
5,1407,351,500,15814.822119658123,23906.52265152891
