fold,fit_rows,validation_rows,training_median,mae,rmse
1,1406,352,161000.0,58744.59659090909,91023.95878511752
2,1406,352,163950.0,52819.19886363636,75290.98392800157
3,1406,352,160000.0,53478.47727272727,80557.43512575219
4,1407,351,159000.0,55127.470085470086,78089.74036941705
5,1407,351,160000.0,51909.8603988604,73921.63605201685
