alpha,oof_mae,oof_rmse,mean_fold_mae,std_fold_mae,mean_fold_rmse,std_fold_rmse
10.0,16063.918505815327,27776.03112473435,16062.94273796911,1220.6821124028666,27068.410308437637,6939.204616127517
1.0,16441.437800743304,27633.280287683167,16440.456758789078,1003.2173225721964,27078.71876581442,6133.708620038988
100.0,16539.416398655005,28663.030359181434,16538.21534774952,1829.7573977951715,27907.46056681946,7281.18841179691
0.1,16734.88385727336,27875.87410914845,16734.014568728788,896.7611560590291,27419.93422156542,5588.766188553031
0.01,16782.563309396057,27900.7179312706,16781.65949674564,911.6106957140566,27458.321410672805,5507.23635575352
1000.0,18939.758770793975,31751.961627270335,18938.43822992279,2182.8364393837,31242.1278481251,6301.909357802116
