fold,fit_rows,validation_rows,alpha,mae,rmse
1,1406,352,1.0,17395.53515367022,27202.84917047898
2,1406,352,1.0,16111.044701489538,23668.499388701435
3,1406,352,1.0,17539.462176732242,37650.10674815682
4,1407,351,1.0,15184.399088035882,22910.480790784113
5,1407,351,1.0,15971.842674017525,23961.657730950767
