evaluation,strategy,evaluations,mean_test_rows,mean_mae,std_mae,median_mae,mean_rmse,std_rmse,mean_primary_fallback_percentage,wins,total_evaluations,mae_win_percentage,mean_mae_improvement_vs_global_percentage,mean_rmse_improvement_vs_global_percentage
conditional_masking,model_based_hgb,20,408.0,9.22877120095761,0.4083727956684881,9.2784524785778,15.359658940476038,1.2968535357921367,,20,20,100.0,44.513221824285054,34.57047243758965
conditional_masking,hierarchical_median,20,408.0,11.821875,0.625278205928556,11.791053921568627,19.951929074064232,1.9799121479245378,1.4093137254901962,0,20,0.0,28.98143719667525,15.108882643481873
conditional_masking,neighborhood_median,20,408.0,12.882230392156861,0.6077410348390706,12.834558823529411,20.813762190204283,1.5579159889090346,0.0,0,20,0.0,22.626407615150427,11.374278993202186
conditional_masking,lot_config_median,20,408.0,15.663725490196077,0.6110743993395217,15.58578431372549,22.482950990930675,1.5975351997192806,0.0,0,20,0.0,5.898545375987302,4.246146826494618
conditional_masking,global_median,20,408.0,16.64669117647059,0.6384902465125373,16.549019607843135,23.473970402603918,1.5422056124632797,0.0,0,20,0.0,0.0,0.0
repeated_random_cv,model_based_hgb,50,488.0,8.380777409206877,0.4434284652408884,8.361149600244802,14.291698622585118,1.6845374074102848,,50,50,100.0,49.653158127331,38.87657615138089
repeated_random_cv,hierarchical_median,50,488.0,11.785327868852459,0.6392549944757572,11.80891393442623,19.610652054157953,1.985754033331637,0.5040983606557377,0,50,0.0,29.216935962326062,16.045588996103394
repeated_random_cv,neighborhood_median,50,488.0,12.546987704918033,0.6882166591566489,12.416495901639344,20.427225858599762,1.9650017516592346,0.0,0,50,0.0,24.653609835926762,12.543900253452152
repeated_random_cv,lot_config_median,50,488.0,15.997315573770493,0.6722036876318781,15.93545081967213,22.531033860602292,1.7940504650632854,0.0,0,50,0.0,3.9218190326483797,3.442321147427064
repeated_random_cv,global_median,50,488.0,16.650245901639344,0.6374513082802342,16.630122950819672,23.33028090832487,1.7736008676610562,0.0,0,50,0.0,0.0,0.0
