evaluation,split_id,repeat,fold,strategy,test_rows,mae,rmse,primary_fallback_percentage
repeated_random_cv,1,1,1.0,global_median,488,15.995901639344263,21.464228724883135,0.0
repeated_random_cv,1,1,1.0,neighborhood_median,488,11.73155737704918,18.45680602175225,0.0
repeated_random_cv,1,1,1.0,lot_config_median,488,15.367827868852459,20.4379182917038,0.0
repeated_random_cv,1,1,1.0,hierarchical_median,488,10.989754098360656,17.31000492466144,0.20491803278688525
repeated_random_cv,1,1,1.0,model_based_hgb,488,8.045739581062707,13.174060973799136,
repeated_random_cv,2,1,2.0,global_median,488,16.42622950819672,22.696591063453546,0.0
repeated_random_cv,2,1,2.0,neighborhood_median,488,12.390368852459016,19.390943994978517,0.0
repeated_random_cv,2,1,2.0,lot_config_median,488,15.813524590163935,22.06914432295781,0.0
repeated_random_cv,2,1,2.0,hierarchical_median,488,11.29405737704918,18.163377967226467,0.0
repeated_random_cv,2,1,2.0,model_based_hgb,488,8.401479649548623,13.542571382285784,
repeated_random_cv,3,1,3.0,global_median,488,17.545081967213115,23.208958134843495,0.0
repeated_random_cv,3,1,3.0,neighborhood_median,488,12.596311475409836,19.353749583758173,0.0
repeated_random_cv,3,1,3.0,lot_config_median,488,16.598360655737704,22.15611524213915,0.0
repeated_random_cv,3,1,3.0,hierarchical_median,488,11.470286885245901,18.17113264151164,0.819672131147541
repeated_random_cv,3,1,3.0,model_based_hgb,488,8.631219811568643,13.175485711393701,
repeated_random_cv,4,1,4.0,global_median,488,17.520491803278688,25.48794314772456,0.0
repeated_random_cv,4,1,4.0,neighborhood_median,488,13.64344262295082,23.089277903355068,0.0
repeated_random_cv,4,1,4.0,lot_config_median,488,16.84016393442623,24.64502077865482,0.0
repeated_random_cv,4,1,4.0,hierarchical_median,488,12.54405737704918,21.83853518101567,0.819672131147541
repeated_random_cv,4,1,4.0,model_based_hgb,488,8.361348619878171,15.288595358320608,
repeated_random_cv,5,1,5.0,global_median,488,15.942622950819672,24.02440698846781,0.0
repeated_random_cv,5,1,5.0,neighborhood_median,488,12.555327868852459,22.104492904325515,0.0
repeated_random_cv,5,1,5.0,lot_config_median,488,15.77766393442623,23.76003886194868,0.0
repeated_random_cv,5,1,5.0,hierarchical_median,488,12.454918032786885,21.970499968195057,0.4098360655737705
repeated_random_cv,5,1,5.0,model_based_hgb,488,8.264865536608744,16.157896102071795,
repeated_random_cv,6,2,1.0,global_median,488,16.165983606557376,22.001723106887134,0.0
repeated_random_cv,6,2,1.0,neighborhood_median,488,12.212090163934427,19.259990488226038,0.0
repeated_random_cv,6,2,1.0,lot_config_median,488,15.551229508196721,20.82228668880581,0.0
repeated_random_cv,6,2,1.0,hierarchical_median,488,11.167008196721312,17.328388652113286,0.819672131147541
repeated_random_cv,6,2,1.0,model_based_hgb,488,7.929344661118701,12.27455762591557,
repeated_random_cv,7,2,2.0,global_median,488,17.614754098360656,25.769628838844444,0.0
repeated_random_cv,7,2,2.0,neighborhood_median,488,13.459016393442623,23.126079948199,0.0
repeated_random_cv,7,2,2.0,lot_config_median,488,17.471311475409838,25.63944514885187,0.0
repeated_random_cv,7,2,2.0,hierarchical_median,488,13.008196721311476,22.968282656670727,0.20491803278688525
repeated_random_cv,7,2,2.0,model_based_hgb,488,9.114912137648176,16.83622289475314,
repeated_random_cv,8,2,3.0,global_median,488,16.799180327868854,24.80811607016582,0.0
repeated_random_cv,8,2,3.0,neighborhood_median,488,11.89344262295082,21.344894195022878,0.0
repeated_random_cv,8,2,3.0,lot_config_median,488,15.762295081967213,23.790754506740637,0.0
repeated_random_cv,8,2,3.0,hierarchical_median,488,10.790983606557377,20.12672454682099,1.2295081967213115
repeated_random_cv,8,2,3.0,model_based_hgb,488,8.074480738702741,15.008312093163404,
repeated_random_cv,9,2,4.0,global_median,488,16.799180327868854,23.03311941887018,0.0
repeated_random_cv,9,2,4.0,neighborhood_median,488,12.720286885245901,19.590021820254126,0.0
repeated_random_cv,9,2,4.0,lot_config_median,488,15.961065573770492,22.13024967820454,0.0
repeated_random_cv,9,2,4.0,hierarchical_median,488,11.795081967213115,18.69209638358188,0.4098360655737705
repeated_random_cv,9,2,4.0,model_based_hgb,488,8.522581524942952,14.067272625216257,
repeated_random_cv,10,2,5.0,global_median,488,15.829918032786885,21.02277258624834,0.0
repeated_random_cv,10,2,5.0,neighborhood_median,488,12.442622950819672,18.99608997731453,0.0
repeated_random_cv,10,2,5.0,lot_config_median,488,15.25922131147541,20.188392928026573,0.0
repeated_random_cv,10,2,5.0,hierarchical_median,488,11.563524590163935,17.893755207050198,0.819672131147541
repeated_random_cv,10,2,5.0,model_based_hgb,488,7.796724186514139,11.382931973573859,
repeated_random_cv,11,3,1.0,global_median,488,17.09016393442623,23.324861850134692,0.0
repeated_random_cv,11,3,1.0,neighborhood_median,488,12.559426229508198,19.554778041754783,0.0
repeated_random_cv,11,3,1.0,lot_config_median,488,16.420081967213115,22.717302209376253,0.0
repeated_random_cv,11,3,1.0,hierarchical_median,488,12.140368852459016,19.70074528422969,0.6147540983606558
repeated_random_cv,11,3,1.0,model_based_hgb,488,8.418561612146489,14.335081217559255,
repeated_random_cv,12,3,2.0,global_median,488,15.157786885245901,20.264490868608924,0.0
repeated_random_cv,12,3,2.0,neighborhood_median,488,11.665983606557377,18.172697274469417,0.0
repeated_random_cv,12,3,2.0,lot_config_median,488,14.432377049180328,19.18679745870351,0.0
repeated_random_cv,12,3,2.0,hierarchical_median,488,10.97438524590164,17.36235387173102,0.6147540983606558
repeated_random_cv,12,3,2.0,model_based_hgb,488,7.934030838446605,12.408674911293609,
repeated_random_cv,13,3,3.0,global_median,488,16.46311475409836,22.346654130309354,0.0
repeated_random_cv,13,3,3.0,neighborhood_median,488,12.929303278688524,19.934305528039996,0.0
